x, y, z, Ex, Ey, Ez, Phi
-5.000, -5.000, -5.000, -0.00770, -0.00770, -0.00770, 0.11547
-5.000, -5.000, -4.600, -0.00833, -0.00833, -0.00766, 0.11854
-5.000, -5.000, -4.200, -0.00899, -0.00899, -0.00755, 0.12159
-5.000, -5.000, -3.800, -0.00967, -0.00967, -0.00735, 0.12457
-5.000, -5.000, -3.400, -0.01035, -0.01035, -0.00704, 0.12745
-5.000, -5.000, -3.000, -0.01103, -0.01103, -0.00662, 0.13019
-5.000, -5.000, -2.600, -0.01169, -0.01169, -0.00608, 0.13273
-5.000, -5.000, -2.200, -0.01231, -0.01231, -0.00542, 0.13504
-5.000, -5.000, -1.800, -0.01287, -0.01287, -0.00463, 0.13705
-5.000, -5.000, -1.400, -0.01335, -0.01335, -0.00374, 0.13873
-5.000, -5.000, -1.000, -0.01373, -0.01373, -0.00275, 0.14003
-5.000, -5.000, -0.600, -0.01399, -0.01399, -0.00168, 0.14091
-5.000, -5.000, -0.200, -0.01413, -0.01413, -0.00057, 0.14136
-5.000, -5.000, 0.200, -0.01413, -0.01413, 0.00057, 0.14136
-5.000, -5.000, 0.600, -0.01399, -0.01399, 0.00168, 0.14091
-5.000, -5.000, 1.000, -0.01373, -0.01373, 0.00275, 0.14003
-5.000, -5.000, 1.400, -0.01335, -0.01335, 0.00374, 0.13873
-5.000, -5.000, 1.800, -0.01287, -0.01287, 0.00463, 0.13705
-5.000, -5.000, 2.200, -0.01231, -0.01231, 0.00542, 0.13504
-5.000, -5.000, 2.600, -0.01169, -0.01169, 0.00608, 0.13273
-5.000, -5.000, 3.000, -0.01103, -0.01103, 0.00662, 0.13019
-5.000, -5.000, 3.400, -0.01035, -0.01035, 0.00704, 0.12745
-5.000, -5.000, 3.800, -0.00967, -0.00967, 0.00735, 0.12457
-5.000, -5.000, 4.200, -0.00899, -0.00899, 0.00755, 0.12159
-5.000, -5.000, 4.600, -0.00833, -0.00833, 0.00766, 0.11854
-5.000, -5.000, 5.000, -0.00770, -0.00770, 0.00770, 0.11547
-5.000, -4.600, -5.000, -0.00833, -0.00766, -0.00833, 0.11854
